Gene,Name,Description,Sauce
 OLIG1,oligodendrocyte transcription factor 1,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in neuron differentiation and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within neuron fate commitment. Predicted to be part of chromatin. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",https://www.ncbi.nlm.nih.gov/gene/116448
SLC10A4,solute carrier family 10 member 4,"Predicted to enable bile acid:sodium symporter activity. Predicted to be involved in bile acid and bile salt transport and regulation of neurotransmitter loading into synaptic vesicle. Predicted to act upstream of or within adult behavior and response to xenobiotic stimulus. Predicted to be located in plasma membrane. Predicted to be integral component of membrane. Predicted to be active in cholinergic synapse; dopaminergic synapse; and serotonergic synapse. Predicted to be integral component of synaptic vesicle membrane. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in adrenal (RPKM 2.6), brain (RPKM 1.4) and 8 other tissues",https://www.ncbi.nlm.nih.gov/gene/201780
 NAP1L5,nucleosome assembly protein 1 like 5,"This gene encodes a protein that shares sequence similarity to nucleosome assembly factors, but may be localized to the cytoplasm rather than the nucleus. Expression of this gene is downregulated in hepatocellular carcinomas. This gene is located within a differentially methylated region (DMR) and is imprinted and paternally expressed. There is a related pseudogene on chromosome 4. [provided by RefSeq, Nov 2015]",https://www.ncbi.nlm.nih.gov/gene/266812
IFITM1, interferon induced transmembrane protein 1,"Interferon-induced transmembrane (IFITM) proteins are a family of interferon induced antiviral proteins. The family contains five members, including IFITM1, IFITM2 and IFITM3 that belong to the CD225 superfamily. The protein encoded by this gene restricts cellular entry by diverse viral pathogens, such as influenza A virus, Ebola virus and Sars-CoV-2. [provided by RefSeq, Nov 2021]",https://www.ncbi.nlm.nih.gov/gene/8519
TMEM130,transmembrane protein 130,"Located in Golgi apparatus. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in brain (RPKM 64.7), testis (RPKM 27.5) and 2 other tissues",https://www.ncbi.nlm.nih.gov/gene/222865
CENPF,centromere protein F,"This gene encodes a protein that associates with the centromere-kinetochore complex. The protein is a component of the nuclear matrix during the G2 phase of interphase. In late G2 the protein associates with the kinetochore and maintains this association through early anaphase. It localizes to the spindle midzone and the intracellular bridge in late anaphase and telophase, respectively, and is thought to be subsequently degraded. The localization of this protein suggests that it may play a role in chromosome segregation during mitotis. It is thought to form either a homodimer or heterodimer. Autoantibodies against this protein have been found in patients with cancer or graft versus host disease. [provided by RefSeq, Jul 2008] Broad expression in bone marrow (RPKM 9.7), testis (RPKM 6.0) and 15 other tissues",https://www.ncbi.nlm.nih.gov/gene/1063
 LAPTM5,lysosomal protein transmembrane 5,"This gene encodes a transmembrane receptor that is associated with lysosomes. The encoded protein, also known as E3 protein, may play a role in hematopoiesis. [provided by RefSeq, Feb 2009]Broad expression in bone marrow (RPKM 488.0), lymph node (RPKM 349.3) and 15 other tissues ",https://www.ncbi.nlm.nih.gov/gene/7805
KLK6,kallikrein related peptidase 6,"This gene encodes a member of the kallikrein subfamily of the peptidase S1 family of serine proteases. Growing evidence suggests that many kallikreins are implicated in carcinogenesis and some have potential as novel cancer and other disease biomarkers. The encoded preproprotein is proteolytically processed to generate the mature protease. Expression of this protease is regulated by steroid hormones and may be elevated in multiple human cancers and in serum from psoriasis patients. The encoded protease may participate in the cleavage of amyloid precursor protein and alpha-synuclein, thus implicating this protease in Alzheimer's and Parkinson's disease, respectively. This gene is located in a gene cluster on chromosome 19. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016] Biased expression in esophagus (RPKM 23.8), brain (RPKM 23.7) and 4 other tissues",https://www.ncbi.nlm.nih.gov/gene/5653
 RANBP3L,RAN binding protein 3 like,"Enables SMAD binding activity. Predicted to be involved in several processes, including mesenchymal cell differentiation involved in bone development; negative regulation of osteoblast differentiation; and positive regulation of myoblast differentiation. Predicted to be part of nuclear pore. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in brain (RPKM 8.6), kidney (RPKM 8.4) and 11 other tissues ",https://www.ncbi.nlm.nih.gov/gene/202151
 LRRK2,leucine rich repeat kinase 2,"This gene is a member of the leucine-rich repeat kinase family and encodes a protein with an ankryin repeat region, a leucine-rich repeat (LRR) domain, a kinase domain, a DFG-like motif, a RAS domain, a GTPase domain, a MLK-like domain, and a WD40 domain. The protein is present largely in the cytoplasm but also associates with the mitochondrial outer membrane. Mutations in this gene have been associated with Parkinson disease-8. [provided by RefSeq, Jul 2008] Broad expression in lung (RPKM 31.3), appendix (RPKM 7.6) and 15 other tissues",https://www.ncbi.nlm.nih.gov/gene/120892
 ITIH5,nter-alpha-trypsin inhibitor heavy chain 5,"This gene encodes a heavy chain component of one of the inter-alpha-trypsin inhibitor (ITI) family members. ITI proteins are involved in extracellular matrix stabilization and in the prevention of tumor metastasis. They are also structurally related plasma serine protease inhibitors and are composed of a light chain and varying numbers of heavy chains. This family member is thought to function as a tumor suppressor in breast and thyroid cancers. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011] Broad expression in fat (RPKM 49.7), placenta (RPKM 32.8) and 18 other tissues",https://www.ncbi.nlm.nih.gov/gene/80760
 CAVIN1,caveolae associated protein 1p,"This gene encodes a protein that enables the dissociation of paused ternary polymerase I transcription complexes from the 3' end of pre-rRNA transcripts. This protein regulates rRNA transcription by promoting the dissociation of transcription complexes and the reinitiation of polymerase I on nascent rRNA transcripts. This protein also localizes to caveolae at the plasma membrane and is thought to play a critical role in the formation of caveolae and the stabilization of caveolins. This protein translocates from caveolae to the cytoplasm after insulin stimulation. Caveolae contain truncated forms of this protein and may be the site of phosphorylation-dependent proteolysis. This protein is also thought to modify lipid metabolism and insulin-regulated gene expression. Mutations in this gene result in a disorder characterized by generalized lipodystrophy and muscular dystrophy. [provided by RefSeq, Nov 2009] Broad expression in fat (RPKM 182.5), lung (RPKM 83.2) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/284119
GJA1,gap junction protein alpha 1,"This gene is a member of the connexin gene family. The encoded protein is a component of gap junctions, which are composed of arrays of intercellular channels that provide a route for the diffusion of low molecular weight materials from cell to cell. The encoded protein is the major protein of gap junctions in the heart that are thought to have a crucial role in the synchronized contraction of the heart and in embryonic development. A related intronless pseudogene has been mapped to chromosome 5. Mutations in this gene have been associated with oculodentodigital dysplasia, autosomal recessive craniometaphyseal dysplasia and heart malformations. [provided by RefSeq, May 2014] Broad expression in skin (RPKM 198.8), adrenal (RPKM 176.9) and 17 other tissues ",https://www.ncbi.nlm.nih.gov/gene/2697
 OPALIN,oligodendrocytic myelin paranodal and inner loop protein,"Predicted to be involved in regulation of oligodendrocyte differentiation. Located in Golgi apparatus. [provided by Alliance of Genome Resources, Apr 2022] Restricted expression toward brain (RPKM 29.7) ",https://www.ncbi.nlm.nih.gov/gene/93377
 SLC01C1,Solute Carrier Organic Anion Transporter Family Member 1C1,"Mediates the Na(+)-independent high affinity transport of organic anions such as the thyroid hormones L-thyroxine (T4), L-thyroxine sulfate (T4S), and 3,3',5'-triiodo-L-thyronine (reverse T3, rT3) at the plasma membrane (PubMed:12351693, 18566113, 19129463). Regulates T4 levels in different brain regions by transporting T4, and also by serving as an export pump for T4S, which is a source of T4 after hydrolysis by local sulfatases (PubMed:18566113). Increases the access of these substrates to the intracellular sites where they are metabolized by the deiodinases (PubMed:18566113). Other potential substrates, such as triiodothyronine (T3), 17-beta-glucuronosyl estradiol (17beta-estradiol 17-O-(beta-D-glucuronate)), estrone-3-sulfate (E1S) and sulfobromophthalein (BSP) are transported with much lower efficiency (PubMed:12351693, 19129463). Transports T4 and E1S in a pH-insensitive manner (PubMed:19129463). Facilitates the transport of thyroid hormones across the blood-brain barrier and into glia and neuronal cells in the brain (PubMed:30296914). ( SO1C1_HUMAN,Q9NYB5 )",https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1C1
 SLC39A12,solute carrier family 39 member 12,"Zinc is an essential cofactor for hundreds of enzymes. It is involved in protein, nucleic acid, carbohydrate, and lipid metabolism, as well as in the control of gene transcription, growth, development, and differentiation. SLC39A12 belongs to a subfamily of proteins that show structural characteristics of zinc transporters (Taylor and Nicholson, 2003 [PubMed 12659941]).[supplied by OMIM, Aug 2008] Restricted expression toward brain (RPKM 9.2)",https://www.ncbi.nlm.nih.gov/gene/221074
 CLDN11,claudin 11,"This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. The protein encoded by this gene is a major component of central nervous system (CNS) myelin and plays an important role in regulating proliferation and migration of oligodendrocytes. Mouse studies showed that the gene deficiency results in deafness and loss of the Sertoli cell epithelial phenotype in the testis. This protein is a tight junction protein at the human blood-testis barrier (BTB), and the BTB disruption is related to a dysfunction of this gene. Alternatively spliced transcript variants encoding different isoforms have been identified.[provided by RefSeq, Aug 2010] Biased expression in testis (RPKM 84.9), brain (RPKM 41.6) and 2 other tissues ",https://www.ncbi.nlm.nih.gov/gene/5010
 GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA-A receptors, which are ligand-gated chloride channels. Chloride conductance of these channels can be modulated by agents such as benzodiazepines that bind to the GABA-A receptor. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene cause juvenile myoclonic epilepsy and childhood absence epilepsy type 4. Multiple transcript variants encoding the same protein have been identified for this gene. [provided by RefSeq, Jul 2008] Restricted expression toward brain (RPKM 37.3) ",https://www.ncbi.nlm.nih.gov/gene/2554
 SLC4A4,solute carrier family 4 member 4,"This gene encodes a sodium bicarbonate cotransporter (NBC) involved in the regulation of bicarbonate secretion and absorption and intracellular pH. Mutations in this gene are associated with proximal renal tubular acidosis. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008] Biased expression in kidney (RPKM 56.0), pancreas (RPKM 31.5) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/8671
 TNR,tenascin R,"This gene encodes a member of the tenascin family of extracellular matrix glycoproteins. The encoded protein is restricted to the central nervous system. The protein may play a role in neurite outgrowth, neural cell adhesion and modulation of sodium channel function. It is a constituent of perineuronal nets. [provided by RefSeq, Aug 2013] Restricted expression toward brain (RPKM 22.5) ",https://www.ncbi.nlm.nih.gov/gene/7143
 CSRP2,cysteine and glycine rich protein 2p,"CSRP2 is a member of the CSRP family of genes, encoding a group of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. CRP2 contains two copies of the cysteine-rich amino acid sequence motif (LIM) with putative zinc-binding activity, and may be involved in regulating ordered cell growth. Other genes in the family include CSRP1 and CSRP3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014] Ubiquitous expression in esophagus (RPKM 37.2), placenta (RPKM 35.3) and 23 other tissues",https://www.ncbi.nlm.nih.gov/gene/1466
 VSNL1,visinin like 1,"This gene is a member of the visinin/recoverin subfamily of neuronal calcium sensor proteins. The encoded protein is strongly expressed in granule cells of the cerebellum where it associates with membranes in a calcium-dependent manner and modulates intracellular signaling pathways of the central nervous system by directly or indirectly regulating the activity of adenylyl cyclase. Alternatively spliced transcript variants have been observed, but their full-length nature has not been determined. [provided by RefSeq, Jul 2008]  Biased expression in brain (RPKM 206.9), esophagus (RPKM 16.5) and 2 other tissues ",https://www.ncbi.nlm.nih.gov/gene/7447
 UGT8,UDP glycosyltransferase 8,"The protein encoded by this gene belongs to the UDP-glycosyltransferase family. It catalyzes the transfer of galactose to ceramide, a key enzymatic step in the biosynthesis of galactocerebrosides, which are abundant sphingolipids of the myelin membrane of the central and peripheral nervous systems. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2011] Biased expression in brain (RPKM 15.7), colon (RPKM 5.2) and 10 other tissues",https://www.ncbi.nlm.nih.gov/gene/7368
C1orf129,maestro heat like repeat family member 9,MROH9 (Maestro Heat Like Repeat Family Member 9) is a Protein Coding gene. Gene Ontology (GO) annotations related to this gene include binding. An important paralog of this gene is MROH7.,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MROH9&keywords=C1orf129
AGXT2L1,ethanolamine-phosphate phospho-lyase,"Enables ethanolamine-phosphate phospho-lyase activity. Predicted to be located in mitochondrial matrix. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in liver (RPKM 37.5), brain (RPKM 36.7) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/64850
COL21A1,collagen type XXI alpha 1 chain,"This gene encodes the alpha chain of type XXI collagen, a member of the FACIT (fibril-associated collagens with interrupted helices) collagen family. Type XXI collagen is localized to tissues containing type I collagen and maintains the integrity of the extracellular matrix. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016] Broad expression in placenta (RPKM 9.8), heart (RPKM 8.6) and 16 other tissues",https://www.ncbi.nlm.nih.gov/gene/81578
 FGFR3,fibroblast growth factor receptor 3,"This gene encodes a member of the fibroblast growth factor receptor (FGFR) family, with its amino acid sequence being highly conserved between members and among divergent species. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein would consist of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member binds acidic and basic fibroblast growth hormone and plays a role in bone development and maintenance. Mutations in this gene lead to craniosynostosis and multiple types of skeletal dysplasia. [provided by RefSeq, Aug 2017] Biased expression in skin (RPKM 120.7), esophagus (RPKM 18.0) and 8 other tissues",https://www.ncbi.nlm.nih.gov/gene/2261
SOX4,SRY-box transcription factor 4,"This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins, such as syndecan binding protein (syntenin). The protein may function in the apoptosis pathway leading to cell death as well as to tumorigenesis and may mediate downstream effects of parathyroid hormone (PTH) and PTH-related protein (PTHrP) in bone development. The solution structure has been resolved for the HMG-box of a similar mouse protein. [provided by RefSeq, Jul 2008]",https://www.ncbi.nlm.nih.gov/gene/6659
 APOLD1,apolipoprotein L domain containing 1,"APOLD1 is an endothelial cell early response protein that may play a role in regulation of endothelial cell signaling and vascular function (Regard et al., 2004 [PubMed 15102925]).[supplied by OMIM, Dec 2008 Broad expression in fat (RPKM 54.0), thyroid (RPKM 52.1) and 18 other tissues ",https://www.ncbi.nlm.nih.gov/gene/81575
 B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","Predicted to enable UDP-glycosyltransferase activity. Predicted to be involved in poly-N-acetyllactosamine biosynthetic process. Predicted to be integral component of membrane. Predicted to be active in Golgi membrane. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in colon (RPKM 27.4), stomach (RPKM 7.8) and 8 other tissues ",https://www.ncbi.nlm.nih.gov/gene/93010
 GJA1,gap junction protein alpha 1,"This gene is a member of the connexin gene family. The encoded protein is a component of gap junctions, which are composed of arrays of intercellular channels that provide a route for the diffusion of low molecular weight materials from cell to cell. The encoded protein is the major protein of gap junctions in the heart that are thought to have a crucial role in the synchronized contraction of the heart and in embryonic development. A related intronless pseudogene has been mapped to chromosome 5. Mutations in this gene have been associated with oculodentodigital dysplasia, autosomal recessive craniometaphyseal dysplasia and heart malformations. [provided by RefSeq, May 2014] Broad expression in skin (RPKM 198.8), adrenal (RPKM 176.9) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/2697
 ADGRV1,adhesion G protein-coupled receptor V1,"This gene encodes a member of the G-protein coupled receptor superfamily. The encoded protein contains a 7-transmembrane receptor domain, binds calcium and is expressed in the central nervous system. Mutations in this gene are associated with Usher syndrome 2 and familial febrile seizures. Several alternatively spliced transcripts have been described. [provided by RefSeq, Jul 2008] Biased expression in adrenal (RPKM 8.5), brain (RPKM 6.0) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/84059
 C2orf88,chromosome 2 open reading frame 88,"Predicted to enable protein kinase A regulatory subunit binding activity. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in colon (RPKM 10.9), small intestine (RPKM 9.1) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/84281
 MN1,"MN1 proto-oncogene, transcriptional regulator","Meningioma 1 (MN1) contains two sets of CAG repeats. It is disrupted by a balanced translocation (4;22) in a meningioma, and its inactivation may contribute to meningioma 32 pathogenesis. [provided by RefSeq, Jul 2008] Ubiquitous expression in brain (RPKM 2.3), esophagus (RPKM 2.2) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/4330
VIP,vasoactive intestinal peptide,"The protein encoded by this gene belongs to the glucagon family. It stimulates myocardial contractility, causes vasodilation, increases glycogenolysis, lowers arterial blood pressure and relaxes the smooth muscle of trachea, stomach and gall bladder. The protein also acts as an antimicrobial peptide with antibacterial and antifungal activity. Alternative splicing occurs at this locus and two transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Nov 2014] Biased expression in appendix (RPKM 33.5), colon (RPKM 12.6) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/7432
 CD24P4,CD24 molecule pseudogene 4,Very little known. Is a pseudogene,https://www.ncbi.nlm.nih.gov/gene/?term=CD24P4
 LIMS2,LIM zinc finger domain containing 2,"This gene encodes a member of a small family of focal adhesion proteins which interacts with ILK (integrin-linked kinase), a protein which effects protein-protein interactions with the extraceullar matrix. The encoded protein has five LIM domains, each domain forming two zinc fingers, which permit interactions which regulate cell shape and migration. A pseudogene of this gene is located on chromosome 4. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011] Broad expression in endometrium (RPKM 24.9), fat (RPKM 20.9) and 23 other tissues",https://www.ncbi.nlm.nih.gov/gene/55679
 NNAT,neuronatin,"The protein encoded by this gene is a proteolipid that may be involved in the regulation of ion channels during brain development. The encoded protein may also play a role in forming and maintaining the structure of the nervous system. This gene is found within an intron of another gene, bladder cancer associated protein, but on the opposite strand. This gene is imprinted and is expressed only from the paternal allele. [provided by RefSeq, Apr 2016] Biased expression in placenta (RPKM 54.6), brain (RPKM 50.1) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/4826
 C1orf173 (AKA ERICH3), glutamate rich 3,"Biased expression in testis (RPKM 11.4), brain (RPKM 6.8) and 2 other tissues",https://www.ncbi.nlm.nih.gov/gene/127254
DPYSL3,dihydropyrimidinase like 3,"Enables filamin binding activity. Predicted to be involved in several processes, including actin filament organization; regulation of plasma membrane bounded cell projection organization; and response to axon injury. Predicted to act upstream of or within nervous system development. Predicted to be located in several cellular components, including cell body; growth cone; and lamellipodium. Predicted to be part of filamentous actin. Predicted to be active in synapse. Predicted to colocalize with exocytic vesicle. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in brain (RPKM 51.8), prostate (RPKM 49.3) and 22 other tissues ",https://www.ncbi.nlm.nih.gov/gene/1809
 GAD1,glutamate decarboxylase 1,"This gene encodes one of several forms of glutamic acid decarboxylase, identified as a major autoantigen in insulin-dependent diabetes. The enzyme encoded is responsible for catalyzing the production of gamma-aminobutyric acid from L-glutamic acid. A pathogenic role for this enzyme has been identified in the human pancreas since it has been identified as an autoantigen and an autoreactive T cell target in insulin-dependent diabetes. This gene may also play a role in the stiff man syndrome. Deficiency in this enzyme has been shown to lead to pyridoxine dependency with seizures. Alternative splicing of this gene results in two products, the predominant 67-kD form and a less-frequent 25-kD form. [provided by RefSeq, Jul 2008] Biased expression in brain (RPKM 27.1) and kidney (RPKM 1.8)",https://www.ncbi.nlm.nih.gov/gene/2571
GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA-A receptors, which are ligand-gated chloride channels. Chloride conductance of these channels can be modulated by agents such as benzodiazepines that bind to the GABA-A receptor. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene cause juvenile myoclonic epilepsy and childhood absence epilepsy type 4. Multiple transcript variants encoding the same protein have been identified for this gene. [provided by RefSeq, Jul 2008]  Restricted expression toward brain (RPKM 37.3)",https://www.ncbi.nlm.nih.gov/gene/2554
 MSX1,msh homeobox 1,"This gene encodes a member of the muscle segment homeobox gene family. The encoded protein functions as a transcriptional repressor during embryogenesis through interactions with components of the core transcription complex and other homeoproteins. It may also have roles in limb-pattern formation, craniofacial development, particularly odontogenesis, and tumor growth inhibition. Mutations in this gene, which was once known as homeobox 7, have been associated with nonsyndromic cleft lip with or without cleft palate 5, Witkop syndrome, Wolf-Hirschom syndrome, and autosomoal dominant hypodontia. [provided by RefSeq, Jul 2008] Biased expression in endometrium (RPKM 10.8), fat (RPKM 4.4) and 8 other tissues",https://www.ncbi.nlm.nih.gov/gene/4487
RRM2,ribonucleotide reductase regulatory subunit M2,"This gene encodes one of two non-identical subunits for ribonucleotide reductase. This reductase catalyzes the formation of deoxyribonucleotides from ribonucleotides. Synthesis of the encoded protein (M2) is regulated in a cell-cycle dependent fashion. Transcription from this gene can initiate from alternative promoters, which results in two isoforms that differ in the lengths of their N-termini. Related pseudogenes have been identified on chromosomes 1 and X. [provided by RefSeq, Sep 2009] Biased expression in bone marrow (RPKM 28.1), lymph node (RPKM 20.5) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/6241
 GJB6,gap junction protein beta 6,"Gap junctions allow the transport of ions and metabolites between the cytoplasm of adjacent cells. They are formed by two hemichannels, made up of six connexin proteins assembled in groups. Each connexin protein has four transmembrane segments, two extracellular loops, a cytoplasmic loop formed between the two inner transmembrane segments, and the N- and C-terminus both being in the cytoplasm. The specificity of the gap junction is determined by which connexin proteins comprise the hemichannel. In the past, connexin protein names were based on their molecular weight, however the new nomenclature uses sequential numbers based on which form (alpha or beta) of the gap junction is present. This gene encodes one of the connexin proteins. Mutations in this gene have been found in some forms of deafness and in some families with hidrotic ectodermal dysplasia. [provided by RefSeq, Jul 2008] Biased expression in esophagus (RPKM 49.4), bone marrow (RPKM 18.1) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/10804
 CCK,cholecystokinin,"This gene encodes a member of the gastrin/cholecystokinin family of proteins. The encoded preproprotein is proteolytically processed to generate multiple protein products, including the peptide hormones cholecystokinin-8, -12, -33, and others. The encoded peptides have been shown to regulate gastric acid secretion and food intake. A sulfated form of cholecystokinin-8 may modulate neuronal activity in the brain. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2015] Biased expression in duodenum (RPKM 21.7), brain (RPKM 20.3) and 2 other tissues ",https://www.ncbi.nlm.nih.gov/gene/885
TOP2A,DNA topoisomerase II alpha,"This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This nuclear enzyme is involved in processes such as chromosome condensation, chromatid separation, and the relief of torsional stress that occurs during DNA transcription and replication. It catalyzes the transient breaking and rejoining of two strands of duplex DNA which allows the strands to pass through one another, thus altering the topology of DNA. Two forms of this enzyme exist as likely products of a gene duplication event. The gene encoding this form, alpha, is localized to chromosome 17 and the beta gene is localized to chromosome 3. The gene encoding this enzyme functions as the target for several anticancer agents and a variety of mutations in this gene have been associated with the development of drug resistance. Reduced activity of this enzyme may also play a role in ataxia-telangiectasia. [provided by RefSeq, Jul 2010] Biased expression in testis (RPKM 34.8), lymph node (RPKM 21.9) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/7153
 CNDP1,carnosine dipeptidase 1,"This gene encodes a member of the M20 metalloprotease family. The encoded protein is specifically expressed in the brain, is a homodimeric dipeptidase which was identified as human carnosinase. This gene contains trinucleotide (CTG) repeat length polymorphism in the coding region. [provided by RefSeq, Jul 2008] Biased expression in brain (RPKM 44.8), liver (RPKM 24.2) and 1 other tissue",https://www.ncbi.nlm.nih.gov/gene/84735
 PTRF (AKA CAVIN1),caveolae associated protein 1,"This gene encodes a protein that enables the dissociation of paused ternary polymerase I transcription complexes from the 3' end of pre-rRNA transcripts. This protein regulates rRNA transcription by promoting the dissociation of transcription complexes and the reinitiation of polymerase I on nascent rRNA transcripts. This protein also localizes to caveolae at the plasma membrane and is thought to play a critical role in the formation of caveolae and the stabilization of caveolins. This protein translocates from caveolae to the cytoplasm after insulin stimulation. Caveolae contain truncated forms of this protein and may be the site of phosphorylation-dependent proteolysis. This protein is also thought to modify lipid metabolism and insulin-regulated gene expression. Mutations in this gene result in a disorder characterized by generalized lipodystrophy and muscular dystrophy. [provided by RefSeq, Nov 2009]",https://www.ncbi.nlm.nih.gov/gene/284119
 PLEK,pleckstrin,"Enables phosphatidylinositol-3,4-bisphosphate binding activity; protein homodimerization activity; and protein kinase C binding activity. Involved in several processes, including G protein-coupled receptor signaling pathway; actin cytoskeleton organization; and positive regulation of supramolecular fiber organization. Located in cytoplasm and ruffle membrane. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in bone marrow (RPKM 230.3), lymph node (RPKM 68.5) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/5341
 IFITM3,interferon induced transmembrane protein 3,"Interferon-induced transmembrane (IFITM) proteins are a family of interferon induced antiviral proteins. The family contains five members, including IFITM1, IFITM2 and IFITM3 and belong to the CD225 superfamily. The protein encoded by this gene restricts cellular entry by diverse viral pathogens, such as influenza A virus, Ebola virus and Sars-CoV-2. [provided by RefSeq, Nov 2021] Ubiquitous expression in liver (RPKM 370.9), placenta (RPKM 358.2) and 25 other tissues ",https://www.ncbi.nlm.nih.gov/gene/10410
 RNASE1,"ribonuclease A family member 1, pancreatic","This gene encodes a member of the pancreatic-type of secretory ribonucleases, a subset of the ribonuclease A superfamily. The encoded endonuclease cleaves internal phosphodiester RNA bonds on the 3'-side of pyrimidine bases. It prefers poly(C) as a substrate and hydrolyzes 2',3'-cyclic nucleotides, with a pH optimum near 8.0. The encoded protein is monomeric and more commonly acts to degrade ds-RNA over ss-RNA. Alternative splicing occurs at this locus and four transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008] Broad expression in pancreas (RPKM 931.1), testis (RPKM 410.8) and 19 other tissues",https://www.ncbi.nlm.nih.gov/gene/6035
SOX11,SRY-box transcription factor 11,"This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. The protein may function in the developing nervous system and play a role in tumorigenesis. [provided by RefSeq, Jul 2008]",https://www.ncbi.nlm.nih.gov/gene/6664
 HIST1H1B,"H1.5 linker histone, cluster member","Histones are basic nuclear proteins responsible for nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H1 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the small histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015]",https://www.ncbi.nlm.nih.gov/gene/3009
